rank,video_id,title,view_count,duration,url
90,1-_B_hWFZWI,“You’re Accusing Me Of Fascism!” Trump Verdict Debate Gets Personal,2500000,2049,https://www.youtube.com/watch?v=1-_B_hWFZWI
91,Mb8okSaOQ5A,"""Difficult Time To Be A Woman"" | Dylan Mulvaney v Piers Morgan x Riley Gaines x Brandon Tatum",2500000,1747,https://www.youtube.com/watch?v=Mb8okSaOQ5A
92,beOiJcG0UMk,"""You're A MONSTER!"" Cenk Uygur vs Douglas Murray On Israel-Palestine War With Piers Morgan",2500000,1933,https://www.youtube.com/watch?v=beOiJcG0UMk
93,u5_6mMV7Hc4,"Israel-Palestine War: ""There Is No Deal With The Devil!"" Cenk Uygur vs Mosab Hassan Yousef On Hamas",2500000,1060,https://www.youtube.com/watch?v=u5_6mMV7Hc4
94,I_Sh-ERypMA,Piers Morgan vs Norman Finkelstein On Israel and Palestine | The Full Interview,2500000,1625,https://www.youtube.com/watch?v=I_Sh-ERypMA
95,ph9XF39yjgU,Israel-Hamas War: Gabor Mate vs Piers Morgan On Palestine and Gaza | The Full Interview,2400000,1210,https://www.youtube.com/watch?v=ph9XF39yjgU
96,V2kRxZr6b9s,Piers Morgan vs Mikhaila Peterson | The Full Interview,2400000,834,https://www.youtube.com/watch?v=V2kRxZr6b9s
97,qRO2NvIWCEY,"''Shut The F*ck Up!"" Tucker Carlson vs Piers Morgan",2300000,4059,https://www.youtube.com/watch?v=qRO2NvIWCEY
98,k5VoCMFL8N4,"“I Am DISGUSTED With Myself” Candace Owens On Israel, Trump, Diddy & Jay-Z",2300000,2873,https://www.youtube.com/watch?v=k5VoCMFL8N4
99,QvGkKKemIDk,“You’ve NO IDEA How Many You’ve Killed?”  Piers Morgan vs Avi Hyman,2300000,2398,https://www.youtube.com/watch?v=QvGkKKemIDk
100,wndJdXwK558,LGBTQ Activist Takes On Piers Morgan Over Athletes Refusing To Wear Rainbow Colours,2300000,562,https://www.youtube.com/watch?v=wndJdXwK558
101,9Dr0FgjvGtQ,"""Wouldn’t YOU Resist?"" Bassem Youssef RETURNS For More On Israel-Hamas War",2200000,4374,https://www.youtube.com/watch?v=9Dr0FgjvGtQ
102,0iPqwf01s64,"""You're Glorifying Obesity!"" Piers Morgan Interviews TikTok 'Fat Influencer'",2200000,474,https://www.youtube.com/watch?v=0iPqwf01s64
103,uSa3i69dwy0,“You Can’t Be Proud To Be A Man Anymore!” Piers Morgan On Brand Virtue-Signalling,2200000,872,https://www.youtube.com/watch?v=uSa3i69dwy0
104,kSGATvNb3rM,“You’re Being a Complete D*CK!” Piers Morgan vs Don Lemon + Steven Crowder & Joe Walsh,2100000,3517,https://www.youtube.com/watch?v=kSGATvNb3rM
105,Ve3ozQywb60,'ALL You Do Is Issue Attacks!' Candace Owens vs Mikhaila Peterson,2100000,2963,https://www.youtube.com/watch?v=Ve3ozQywb60
106,QKNasDSLoQU,"Patrick Bet-David: The ""DARK Strategy"" for Taking Trump Down",2100000,2569,https://www.youtube.com/watch?v=QKNasDSLoQU
107,qUH_Vzs1M8Q,“You're Defending a MONSTER” Mohammed Hijab vs Alan Dershowitz on Israel-Hamas,2100000,3150,https://www.youtube.com/watch?v=qUH_Vzs1M8Q
108,Trrp-tgKvR0,“The Entire Political Charade Has Come CRASHING Down” Eric Weinstein On US Election,2100000,2490,https://www.youtube.com/watch?v=Trrp-tgKvR0
109,xXA0N3oCx3o,“People Will Vote For A CORPSE Over Trump!” Biden Debate Feat Destiny,2100000,3115,https://www.youtube.com/watch?v=xXA0N3oCx3o
